Country,Latitude,Longitude
Brazil,-14.235004,-51.92528
Burundi,-3.373056,29.918886
China,35.86166,104.195397
Colombia,4.570868,-74.297333
Costa Rica,9.748917,-83.753428
Cote dIvoire,7.539989,-5.54708
Ecuador,-1.831239,-78.183406
El Salvador,13.794185,-88.89653
Ethiopia,9.145,40.489673
Guatemala,15.783471,-90.230759
Haiti,18.971187,-72.285215
Honduras,15.199999,-86.241905
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Japan,36.204824,138.252924
Kenya,-0.023559,37.906193
Laos,19.85627,102.495496
Malawi,-13.254308,34.301525
Mauritius,-20.348404,57.552152
Mexico,23.634501,-102.552784
Myanmar,21.916221,95.955974
Nicaragua,12.865416,-85.207229
Panama,8.537981,-80.782127
Papua New Guinea,-6.314993,143.95555
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Rwanda,-1.940278,29.873888
Taiwan,23.69781,120.960515
Tanzania,-6.369028,34.888822
Thailand,15.870032,100.992541
Uganda,1.373333,32.290275
United States,37.09024,-95.712891
Vietnam,14.058324,108.277199
Zambia,-13.133897,27.849332
