Country,Max Production
Angola,85.344
Bolivia (Plurinational State of),157.702
Brazil,62924.8836
Burundi,667.199
Ecuador,2375.766
Indonesia,13070.0386
Madagascar,1121.684
Malawi,137.161
Papua New Guinea,1413.8545
Paraguay,130.627
Peru,5372.5296
Rwanda,638.875
Timor-Leste,139.0966
Zimbabwe,251.901
Congo,13.86
Cuba,414.212
Dominican Republic,941.242
Haiti,513.945
Philippines,1018.482
Tanzania,1186.2823
Zambia,118.927
Benin,1.805
Cameroon,1725.948
Central African Republic,249.512
Colombia,17980.397
Costa Rica,2997.974
Côte d'Ivoire,6320.4388
Democratic Republic of Congo,1580.296
El Salvador,3001.301
Equatorial Guinea,3.536
Ethiopia,7776.2234
Gabon,7.701
Ghana,88.9011
Guatemala,5120.1288
Guinea,524.884
Guyana,12.9412
Honduras,7559.768
India,6160.9436
Jamaica,53.864
Kenya,1664.234
Lao People's Democratic Republic,552.4924
Liberia,17.779
Mexico,6218.6765
Nepal,3.0825
Nicaragua,2617.2854
Nigeria,68.5718
Panama,248.313
Sierra Leone,90.7017
Sri Lanka,95.87
Thailand,1692.2342
Togo,432.652
Trinidad & Tobago,19.392
Uganda,4962.158
Venezuela,1597.279
Viet Nam,31174.0742
Yemen,219.7968
