Country,Avg Annual Rainfall (mm),"Avg Temperature, C"
Brazil,1761,24.95
Colombia,3240,24.51
Indonesia,2702,25.85
Ethiopia,848,22.41
India,1083,23.65
Mexico,758,21.05
Guatemala,1996,23.45
Honduras,1976,23.51
Uganda,1180,17.55
Peru,1738,19.6
Costa Rica,2926,24.81
El Salvador,1784,24.45
Nicaragua,2280,24.9
Ecuador,2274,21.85
Papua New Guinea,3142,25.25
Kenya,630,24.75
Thailand,1622,26.31
Tanzania,1071,22.35
Philippines,2348,25.55
Haiti,1440,24.9
Burundi,1274,19.8
Rwanda,1212,19.17
